Receta,Score,Quantity Score,Dificultad,Tiempo Preparación,Tiempo Total,Cantidades,Ingredientes,Nutrición
Pulpo de montaña,5.0,2 valoraciones,medio,15min,2h 30min,4 raciones,"['400 g de careta de cerdo precocida en trozos (oreja y morro)', '1600 g de agua', '30 g de zumo de limón', '1 - 2 chorritos de aceite de oliva', '1 - 2 pellizcos de sal gorda', '½ cucharadita de pimentón']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '237.5 kcal / 993.7 kJ'), ('Proteína', '22.5 g'), ('Grasa', '15.3 g'), ('Carbohidratos', '1.1 g'), ('Fibra', '0 g'), ('Grasas saturadas', '5.4 g'), ('Sodio', '250.6 mg')]"
Coulant de turrón,4.0,67 valoraciones,medio,5min,15min,6 unidades,"['75 g de harina de repostería', '1 trozo de mantequilla', '200 g de turrón de Jijona blando en trozos', '4 huevos', '100 g de azúcar']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '334.4 kcal / 1399.1 kJ'), ('Proteína', '8.8 g'), ('Grasa', '16.4 g'), ('Carbohidratos', '41.6 g'), ('Fibra', '1.9 g'), ('Grasas saturadas', '3.4 g'), ('Sodio', '41.4 mg')]"
Mollejas de ternera con cebolletas,4.0,2 valoraciones,medio,20min,3h,6 raciones,"['1000 g de mollejas de ternera', '1750 g de agua', '250 g de vinagre de vino blanco', 'cubitos de hielo', '300 g de cebolletas en trozos', '2 dientes de ajo', '30 g de aceite de oliva', '2 pellizcos de sal', '1 pellizco de pimienta molida', '100 g de vino blanco', '100 g de nata (35% de grasa)', '1 - 2 cucharadas de cebolleta (parte verde, picada)']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '545 kcal / 2280 kJ'), ('Proteína', '25 g'), ('Grasa', '45 g'), ('Carbohidratos', '10 g')]"
"Milhojas de berenjena con paté ibérico, setas y Torta del Casar",4.6,76 valoraciones,medio,20min,55min,6 raciones,"['400 g de agua', '2 - 3 berenjenas en rodajas de 5 mm (24 rodajas)', '250 g de cebolleta en cuartos', '1 - 2 dientes de ajo negro', '20 g de aceite de oliva', '300 g de setas frescas variadas', '½ cucharadita de sal', '100 - 125 g de paté de hígado de cerdo ibérico', '250 - 300 g de queso Torta del Casar en 6 trozos', '1 cucharadita de pimentón dulce']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '313 kcal / 1309 kJ'), ('Proteína', '16.9 g'), ('Grasa', '24.2 g'), ('Carbohidratos', '7.1 g'), ('Fibra', '3.7 g'), ('Grasas saturadas', '12.6 g'), ('Sodio', '681.5 mg')]"
Pastel ruso con praliné de avellanas,4.6,20 valoraciones,medio,30min,3h 20min,8 raciones,"['50 g de azúcar', '1 cucharada de agua', '20 g de avellanas tostadas (peladas)', '150 g de almendra molida', '150 g de azúcar glas', '4 claras de huevo', '60 g de azúcar', '3 yemas de huevo', '130 g de leche', '20 g de maicena', '50 g de mantequilla a temperatura ambiente, en trozos', '2 cucharadas de azúcar glas', '2 - 3 cucharadas de almendra laminada']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '382 kcal / 1597 kJ'), ('Proteína', '8.5 g'), ('Grasa', '21.3 g'), ('Carbohidratos', '39.1 g'), ('Fibra', '2.5 g'), ('Grasas saturadas', '5.3 g'), ('Sodio', '47.2 mg')]"
Cubiletes (Asturias),4.6,11 valoraciones,medio,20min,1h 50min,12 unidades,"['85 g de azúcar', '4 - 6 tiras de piel de limón (sin nada de parte blanca)', '250 g de harina de repostería', '100 g de mantequilla a temperatura ambiente, en trozos (y un poco más para engrasar los moldes)', '1 yema de huevo', '1 pellizco de sal', '300 g de almendra molida', '300 g de azúcar', '2 huevos', '50 g de vino de Jerez dulce', '50 g de leche', '1 - 2 cucharadas de almendras crudas sin piel\no bien 1 - 2 cucharadas de granillo de almendra tostado', '1 cucharada de azúcar glas']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '434 kcal / 1812 kJ'), ('Proteína', '8.4 g'), ('Grasa', '22.4 g'), ('Carbohidratos', '49.3 g'), ('Fibra', '3.4 g')]"
Tarta Sacher saludable,4.5,80 valoraciones,medio,30min,3h,10 raciones,"['150 g de orejones de albaricoque', '150 g de agua caliente', '6 huevos', '120 g de almendra molida', '40 g de harina de avena', '100 g de cacao puro en polvo', '½ cucharadita de sal', '1 ½ cucharadita de bicarbonato', '100 g de dátiles sin hueso', '240 g de agua', '60 g de aceite de oliva virgen extra', '40 g de aceite de coco', '5 g de vinagre de manzana', '150 g de chocolate negro (85% de cacao) en trozos', '150 g de agua']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '320 kcal / 1339 kJ'), ('Proteína', '6.4 g'), ('Grasa', '23.9 g'), ('Carbohidratos', '20 g'), ('Fibra', '5.9 g'), ('Grasas saturadas', '8.6 g'), ('Sodio', '107.4 mg')]"
Pan de aceitunas con masa madre,4.9,20 valoraciones,medio,10min,17h 45min,12 rebanadas,"['50 g de agua', '10 g de pie de masa de trigo', '50 g de harina de fuerza', '410 g de agua', '300 g de harina de fuerza', '15 g de azúcar', '35 g de aceite de oliva (y algo más para engrasar)', '40 g de aceitunas negras sin hueso', '1 cucharadita de sal (5 g)', '30 g de zumo de limón']","[('Inf. nutricional', 'por 1 rebanada'), ('Calorías', '145 kcal / 607 kJ'), ('Proteína', '3.6 g'), ('Grasa', '4.2 g'), ('Carbohidratos', '23.1 g'), ('Fibra', '0.9 g'), ('Grasas saturadas', '0.6 g'), ('Sodio', '224.9 mg')]"
Rosquillas glaseadas,3.9,9 valoraciones,medio,20min,1h,6 unidades,"['125 g de harina de repostería', '60 g de azúcar', '½ sobre de polvo de hornear', '2 vainas de cardamomo (las semillas machacadas) (opcional)', '125 g de leche', '15 g de mantequilla', '1 huevo', '100 g de azúcar', '15 g de clara de huevo', '2 - 3 gotas de zumo de limón']","[('Inf. nutricional', 'por 6 unidades'), ('Calorías', '1379.1 kcal / 5764.5 kJ'), ('Proteína', '27 g'), ('Grasa', '25.1 g'), ('Carbohidratos', '261.2 g'), ('Fibra', '5.1 g'), ('Grasas saturadas', '12.3 g'), ('Sodio', '169.7 mg')]"
Cuajada de carnaval,4.3,10 valoraciones,medio,30min,4h 45min,10 raciones,"['100 g de agua', '100 g de azúcar', '20 g de brandy', '4 huevos', '120 g de azúcar', '1 cucharadita de azúcar vainillado', '120 g de harina de repostería', '1 pellizco de sal', '500 g de leche', '100 g de azúcar', '50 g de harina de repostería', '1 cucharadita de azúcar vainillado', '3 huevos', '100 - 150 g de almendras tostadas sin sal', '400 g de mantecados', '200 g de cabello de ángel', '1 - 2 cucharadas de canela molida', '50 g de azúcar glas']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '646 kcal / 2701 kJ'), ('Proteína', '7.6 g'), ('Grasa', '29.6 g'), ('Carbohidratos', '78.6 g'), ('Fibra', '2.7 g'), ('Grasas saturadas', '11.8 g'), ('Sodio', '192.3 mg')]"
Rape en salsa de puerros al azafrán,4.0,57 valoraciones,medio,20min,40min,6 raciones,"['4 puerros gruesos en rodajas de 2-3 cm', '3 dientes de ajo', '60 g de aceite de oliva', '10 g de harina', '1 pellizco de guindilla seca desmenuzada (opcional)', '100 g de vino blanco', '200 g de agua', '6 pellizcos de sal', '1 sobre de hebras de azafrán', '2 huevos envueltos en film transparente', '6 - 12 rodajas de lomo de rape (sin piel ni hueso) (aprox. 1200 g)', '20 - 30 g de mantequilla\no bien 20 g de aceite de oliva', '2 pellizcos de pimienta molida']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '311 kcal / 1300 kJ'), ('Proteína', '35.6 g'), ('Grasa', '17 g'), ('Carbohidratos', '4 g'), ('Fibra', '2 g'), ('Grasas saturadas', '4.4 g'), ('Sodio', '506.7 mg')]"
Roscón relleno con frutas confitadas,4.7,51 valoraciones,medio,30min,4h,12 raciones,"['80 g de leche', '10 g de levadura prensada fresca', '10 g de azúcar', '130 g de harina de fuerza', '120 g de azúcar', '6 - 8 tiras de piel de limón (solo la parte amarilla)', '8 - 10 tiras de piel de naranja (solo la parte naranja)', '60 g de leche', '4 huevos', '15 g de levadura prensada fresca', '30 g de agua de azahar', '450 g de harina de fuerza', '1 pellizco de sal', '130 g de mantequilla en trozos (a temperatura ambiente)', '100 g de azúcar moreno', '150 g de frutas confitadas variadas troceadas en dados de 0,5 cm', '100 g de almendras laminadas']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '449 kcal / 1877 kJ'), ('Proteína', '9.6 g'), ('Grasa', '16.7 g'), ('Carbohidratos', '65.4 g'), ('Fibra', '2.9 g'), ('Grasas saturadas', '6.9 g'), ('Sodio', '117.1 mg')]"
Milhojas de ibéricos con salsa de membrillo,4.7,29 valoraciones,medio,20min,1h,6 raciones,"['2 solomillos de cerdo ibérico, abiertos como un filete', '100 g de jamón ibérico en lonchas finas', '150 g de jamón cocido', '150 g de queso en lonchas', '150 g de ciruelas pasas sin hueso', '200 g de beicon ahumado en lonchas', '2 batatas peladas, en rodajas de 1 cm', '600 g de agua', '350 g de cebolla en cuartos', '50 g de mantequilla', '30 g de aceite de oliva', '200 g de nata (18% materia grasa)', '200 g de dulce de membrillo en trozos', '150 g de champiñones frescos laminados', '½ cucharadita de sal', '1 - 2 pellizcos de pimienta molida']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '700 kcal / 2926 kJ'), ('Proteína', '53.2 g'), ('Grasa', '40.7 g'), ('Carbohidratos', '30.2 g'), ('Fibra', '9.1 g'), ('Grasas saturadas', '18.6 g'), ('Sodio', '1758.6 mg')]"
Petisús de chocolate (Sin azúcar),4.4,18 valoraciones,medio,30min,1h 30min,30 unidades,"['150 g de agua', '80 g de mantequilla en trozos', '1 pellizco de sal', '120 g de harina de repostería', '3 huevos (53-63 g c/u)', '400 g de batata con piel', '300 g de chocolate fondant para postres (50% cacao) sin azúcar, en trozos', '140 g de leche', '1 cucharadita de extracto natural de vainilla', '150 g de chocolate negro (70% de cacao) sin azúcar, en trozos']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '136 kcal / 571 kJ'), ('Proteína', '2.4 g'), ('Grasa', '8.5 g'), ('Carbohidratos', '12.7 g'), ('Fibra', '2.3 g'), ('Grasas saturadas', '4.8 g'), ('Sodio', '41.1 mg')]"
Pestiños borrachuelos,4.4,14 valoraciones,medio,25min,50min,30 unidades,"['250 g de harina de repostería (y un poco más para espolvorear)', '50 g de licor de anís', '50 g de manteca de cerdo', '50 g de agua', '½ cucharadita de sal', '300 - 400 g de aceite para freír', '200 g de miel', '100 g de vino dulce (moscatel)']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '94 kcal / 391 kJ'), ('Proteína', '0.9 g'), ('Grasa', '5.1 g'), ('Carbohidratos', '11.1 g'), ('Fibra', '0.3 g')]"
Hamburguesas de buey y aceituna con cebolla caramelizada (HESTAN CUE),4.8,29 valoraciones,medio,30min,40min,4 unidades,"['2 cebollas rojas en rodajas de 5 mm (aprox. 400 g)', '30 g de aceite', '1 pellizco de sal', '1 cucharada de vinagre de manzana', '1 diente de ajo', '80 g de aceitunas verdes sin hueso', '25 g de chiles jalapeños en conserva', '1 cucharada de vinagre de manzana', '1 cucharada de salsa de soja', '1 cucharada de mostaza de grano entero', '½ cucharadita de pimienta negra molida', '500 g de carne de buey picada', '4 cucharadas de aceite (para la sartén)', '4 panes de hamburguesa', '4 cucharadas de mayonesa', '4 cucharaditas de kétchup', '100 g de queso cheddar rallado', '4 hojas de lechuga', '4 rodajas de tomate']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '784 kcal / 3278 kJ'), ('Proteína', '36.5 g'), ('Grasa', '58 g'), ('Carbohidratos', '28.2 g'), ('Fibra', '4.6 g'), ('Grasas saturadas', '17.3 g'), ('Sodio', '1467.5 mg')]"
Fish pie (Reino Unido),4.3,12 valoraciones,medio,20min,1h 20min,6 raciones,"['100 g de espinacas congeladas', '500 g de langostinos crudos sin pelar', '300 g de lomo de salmón fresco sin piel ni espinas, en trozos de 2-3 cm', '200 g de filetes de perca en trozos de 2-3 cm', '4 pellizcos de pimienta molida', '2 cucharaditas de sal', '200 g de cebolleta en trozos', '100 g de zanahorias en trozos de 2 cm', '4 - 5 ramitas de perejil fresco (hojas y parte del tallo)', '50 g de mantequilla', '2 lonchas de beicon en tiras de 1 cm (opcional)', '70 g de harina de trigo', '1 cucharada de mostaza de Dijon', '400 g de leche', '100 g de guisantes congelados', '500 g de agua', '400 g de patatas (en trozos de 2 cm)', '400 g de batatas (en trozos de 2 cm)', '1 pellizco de nuez moscada molida']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '494 kcal / 2066 kJ'), ('Proteína', '44.3 g'), ('Grasa', '17.6 g'), ('Carbohidratos', '39.7 g'), ('Fibra', '5.6 g'), ('Grasas saturadas', '7.4 g'), ('Sodio', '1032 mg')]"
Pastel crujiente de manzana,4.2,40 valoraciones,medio,25min,1h 15min,10 raciones,"['400 g de harina de repostería (y un poco más para espolvorear)', '1 cucharadita de levadura química en polvo', '1 cucharadita de azúcar', '1 pellizco de sal', '200 g de mantequilla fría y en trozos pequeños (y un poco más para untar el molde)', '100 g de agua fría', '800 g de manzana Granny Smith pelada, en cuartos y sin semillas', '2 cucharada de zumo de limón', '100 g de azúcar', '50 - 60 g de agua', '50 g de leche', '100 g de azúcar']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '422 kcal / 1764 kJ'), ('Proteína', '4.5 g'), ('Grasa', '17.4 g'), ('Carbohidratos', '61.8 g'), ('Fibra', '3 g')]"
Rollos de brioche salados,4.5,21 valoraciones,medio,20min,1h 20min,24 unidades,"['1 - 2 dientes de ajo', '80 g de tomates secos en aceite escurridos', '1 cucharada colmada de orégano seco', '6 filetes de anchoa en aceite', '180 g de queso cremoso', '130 g de leche', '60 g de mantequilla', '2 huevos', '10 g de levadura prensada fresca', '300 g de harina (y algo más para espolvorear)', '½ cucharadita de sal', '20 g de azúcar']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '114 kcal / 477 kJ'), ('Proteína', '3.4 g'), ('Grasa', '5.5 g'), ('Carbohidratos', '13.2 g'), ('Fibra', '0.9 g'), ('Grasas saturadas', '3 g'), ('Sodio', '130 mg')]"
Tarta de cerezas y albaricoques,4.6,13 valoraciones,medio,20min,1h,8 raciones,"['350 g de harina de repostería', '1 cucharadita rasa de sal', '20 g de azúcar', '1 cucharadita de levadura química en polvo', '70 g de mantequilla fría (en trozos pequeños)', '60 g de manteca de cerdo fría (en trozos pequeños)', '70 g de agua fría', '500 g de cerezas', '500 g de albaricoques frescos maduros', '50 g de azúcar (y un poco más para espolvorear)', '1 cucharadita rasa de canela molida', '20 g de maicena', '3 cucharadas de leche (para sellar los bordes y pintar la masa)']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '376 kcal / 1574 kJ'), ('Proteína', '6.2 g'), ('Grasa', '15.8 g'), ('Carbohidratos', '52.4 g'), ('Fibra', '3.7 g'), ('Grasas saturadas', '7.9 g'), ('Sodio', '202.8 mg')]"
Menú: Bullabesa,3.8,6 valoraciones,medio,15min,1h 5min,6 raciones,"['1 cebolla en cuartos (aprox. 200 g)', '1 puerro en 2-3 trozos (aprox. 100 g)', '1 diente de ajo', '30 g de aceite de oliva virgen extra', '500 g de espinas y cabeza de pescado variado (cabracho, congrio, rape, salmonetes, etc.)', '1200 g de agua', '1 cucharadita de sal', '1 nécora (aprox. 100 g)', '100 g de cabracho', '100 g de congrio', '100 g de mero\no bien 100 g de filetes de perca', '1 trozo de cola de rape sin piel con hueso (aprox. 100 g)', '2 salmonetes limpios (aprox. 100 g cada uno)', '2 tomates maduros pelados', '1 cucharada de tomate concentrado (opcional)', '100 g de cebolla en dos trozos', '1 diente de ajo', '200 g de bulbos de hinojo en trozos', '30 g de aceite de oliva virgen extra', '6 - 8 ramitas de hierbas frescas variadas (albahaca, tomillo, romero, laurel, etc.)', '1 cucharadita de sal', '2 pellizcos de hebras de azafrán\no bien 1 cucharadita de colorante amarillo']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '242 kcal / 1016 kJ'), ('Proteína', '14 g'), ('Grasa', '17 g'), ('Carbohidratos', '7 g'), ('Fibra', '3 g')]"
Bizcocho de piña con crema de queso chocolate y frutos secos (Božská mana),4.6,60 valoraciones,medio,20min,3h 30min,12 raciones,"['150 g de leche', '2 yemas de huevo', '40 g de azúcar', '1 chorrito de vainilla líquida', '1 cucharadita de maicena', '2 latas de piña troceada en conserva con su jugo (aprox. 440 g)', '250 g de harina', '1 cucharadita de levadura química en polvo', '2 cucharaditas de bicarbonato', '250 g de azúcar', '2 huevos', '400 g de queso cremoso', '1 cucharada de azúcar glas', '1 sobre de azúcar vainillado', '150 g de frutos secos variados (nueces, almendras, anacardos, avellanas, etc.)', '250 g de chocolate fondant para postres (50% cacao) en trozos', '85 g de mantequilla en trozos']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '559 kcal / 2336 kJ'), ('Proteína', '9.3 g'), ('Grasa', '32.8 g'), ('Carbohidratos', '56.4 g'), ('Fibra', '4.6 g')]"
Ñoquis de batata fritos con salsa de gorgonzola,4.1,26 valoraciones,medio,30min,1h,6 raciones,"['100 g de queso parmesano en trozos de 2 cm', '500 g de agua', '500 g de batatas peladas, en trozos', '250 g de harina de fuerza (y algo más para espolvorear)', '1 huevo', '1 cucharadita de sal', '300 - 400 g de aceite para freír', '20 g de harina', '20 g de mantequilla', '300 g de leche', '100 g de queso gorgonzola picante, en trozos', '½ cucharadita de sal', '2 cucharadas de cebollino fresco picado muy fino']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '562 kcal / 2350 kJ'), ('Proteína', '16.3 g'), ('Grasa', '31.4 g'), ('Carbohidratos', '53.8 g'), ('Fibra', '4 g')]"
Rollitos de alcachofa y parmesano,4.5,67 valoraciones,medio,20min,45min,20 unidades,"['100 g de queso parmesano en trozos', '2 - 3 ramitas de perejil fresco (sólo las hojas, limpias y secas)', '2 dientes de ajo', '1 tarro de corazones de alcachofa en conserva bien escurridas (peso neto 390 g, escurrido 230-250 g)', '2 cucharadas de orégano seco', '1 pellizco de sal', '1 pellizco de pimienta molida', '6 láminas de masa filo', '150 - 170 g de mantequilla fundida', '1 cucharada de semillas de sésamo\no bien 1 cucharadita de semillas de amapola']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '91 kcal / 384 kJ'), ('Proteína', '2.1 g'), ('Grasa', '8.3 g'), ('Carbohidratos', '1.5 g'), ('Fibra', '1.2 g'), ('Grasas saturadas', '5 g'), ('Sodio', '86.3 mg')]"
Pastelitos de dátiles (Maamouls) - Israel,4.2,23 valoraciones,medio,30min,1h 30min,30 unidades,"['150 g de dátiles sin hueso', '10 g de mantequilla', '60 g de agua', '10 g de agua de azahar', '½ cucharadita de canela molida', '400 g de harina de repostería', '200 g de mantequilla en trozos\no bien 200 g de margarina en trozos', '20 g de leche', '40 g de agua de azahar', '50 g de azúcar glas']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '118 kcal / 497 kJ'), ('Proteína', '1.5 g'), ('Grasa', '6 g'), ('Carbohidratos', '14.6 g'), ('Fibra', '0.8 g')]"
Tarta de chocolate blanco y negro,4.2,23 valoraciones,medio,30min,1h 25min,10 raciones,"['6 claras de huevo', '1 pellizco de sal', '250 g de chocolate fondant para postres (50% cacao) en trozos', '130 g de mantequilla', '150 g de azúcar', '6 yemas de huevo', '60 g de harina de repostería', '180 g de chocolate blanco para postres en trozos', '50 g de mantequilla', '300 g de queso cremoso', '30 g de licor de naranja\no bien 30 g de zumo de naranja', '50 g de azúcar glas', '3 hojas de gelatina', '60 g de nata (35% de grasa)', '70 g de agua', '90 g de azúcar', '30 g de cacao puro en polvo', '200 g mermelada de naranja', '30 g de licor de naranja\no bien 30 g de zumo de naranja', '15 - 20 g de virutas de chocolate']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '819 kcal / 3424 kJ'), ('Proteína', '11.4 g'), ('Grasa', '49.2 g'), ('Carbohidratos', '81.9 g'), ('Fibra', '3.7 g')]"
Caracolas de canela,4.2,84 valoraciones,medio,30min,2h,24 unidades,"['90 g de mantequilla Lurpak® en trozos', '300 g de leche', '60 g de azúcar', '1 cucharada de cardamomo molido (opcional)', '500 g de harina de fuerza (y un poco más para espolvorear)', '1 sobre de levadura de panadería deshidratada', '½ cucharadita de sal', 'harina', '100 g de mantequilla Lurpak® en trozos', '2 cucharadas de canela molida', '¼ cucharadita de clavo molido (opcional)', '30 g de azúcar', '1 pellizco de sal', '1 huevo batido', '2 - 3 cucharadas de azúcar']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '158 kcal / 661 kJ'), ('Proteína', '2.8 g'), ('Grasa', '7.5 g'), ('Carbohidratos', '19.7 g'), ('Fibra', '0.8 g')]"
Solomillo en costra de hojaldre,4.7,57 valoraciones,medio,25min,40min,10 raciones,"['80 g de chalotas', '40 g de mantequilla', '10 g de aceite de oliva virgen extra', '250 g de setas frescas (champiñón, seta de cardo, boletus, etc.)', '1 pellizco de sal', '1 pellizco de pimienta negra recién molida', '20 g de brandy', '2 láminas de masa de hojaldre (aprox. 25 x 30 cm, de 5 mm de grosor)', '2 solomillos de cerdo (aprox. 300- 400 g c/u) salpimentados', '160 g de foie mi-cuit de pato en trozos', '1 tarro de mermelada de frambuesas (aprox. 350 g)', '1 huevo batido para pintar']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '495 kcal / 2067 kJ'), ('Proteína', '18.48 g'), ('Grasa', '33.07 g'), ('Carbohidratos', '30.76 g'), ('Fibra', '1.55 g')]"
Crêpes rellenos de champiñones y crema de soja (sin lactosa),4.2,19 valoraciones,medio,30min,9h 30min,12 unidades,"['100 g de anacardos crudos tostados sin sal', '180 g de harina de trigo sarraceno', '70 g de harina de repostería', '3 huevos', '500 g de agua', '2 cucharadas de aceite y un chorrito para engrasar', '1 pellizco de sal', '1 pellizco de pimienta molida', '200 g de nata de soja para cocinar', '1 diente de ajo cortado en dos', '1 cucharadita de pasta de miso blanco (shiro miso) (opcional)', '1 cucharadita de levadura química en polvo', '40 g de agua', '1 cucharadita de sal', '500 g de champiñones frescos laminados', '1 - 2 cucharadas de cebollino fresco picado (opcional)']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '972.2 kcal / 4133.4 kJ'), ('Proteína', '68.5 g'), ('Grasa', '46.4 g'), ('Carbohidratos', '73 g'), ('Fibra', '24.7 g')]"
Crema de ahumados con sombrero de hojaldre,4.9,77 valoraciones,medio,10min,50min,6 raciones,"['30 g de mantequilla', '30 g de aceite de oliva', '3 puerros en rodajas (solo la parte blanca)', '2 zanahorias grandes en rodajas', '1 diente de ajo', '6 setas frescas (por ej. setas de cardo)', '600 g de fumet de pescado', '1 pastilla de caldo de pescado', '1 pellizco de pimienta de Cayena molida', '200 g de nata (18% materia grasa)', '100 g de salmón ahumado cortado en 4 trozos', '1 paquete de masa de hojaldre extendida', '1 huevo batido (para pintar el hojaldre)']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '393 kcal / 1642 kJ'), ('Proteína', '9.61 g'), ('Grasa', '30.76 g'), ('Carbohidratos', '19.42 g'), ('Fibra', '3.47 g')]"
Taquitos fritos,4.4,23 valoraciones,medio,30min,1h 40min,16 unidades,"['150 g de queso cheddar', '1000 g de agua', '1 cucharadita de sal', '400 g de pechuga de pollo sin piel en 3-4 trozos', '300 g de cebolla en cuartos', '300 g de tomate maduro pelado, en cuartos\no bien 300 g de tomate troceado en conserva (escurrido)', '50 g de aceite de oliva', '1 cucharadita de orégano seco', '1 cucharadita de tomillo seco', '1 pastilla de caldo desmenuzada', '2 cucharaditas de azúcar', '½ cucharadita de canela molida', '16 tortillas de trigo pequeñas (aprox. Ø15 cm)', '150 - 200 g de aceite para freír']","[('Inf. nutricional', 'por 16 unidades'), ('Calorías', '3136 kcal / 13108 kJ'), ('Proteína', '155.1 g'), ('Grasa', '190.8 g'), ('Carbohidratos', '199.3 g'), ('Fibra', '32.1 g')]"
Empanadas de verde con queso,4.5,36 valoraciones,medio,30min,1h 15min,8 unidades,"['200 g de queso fresco latino (ecuatoriano)\no bien 200 g de queso que funda bien (p. ej. queso gallego)', '2 plátanos macho verdes (aprox. 600 g con piel)', '1 ½ cucharaditas de sal', '1250 g de agua', '300 g de aceite para freír (y un poco más para engrasar)']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '181 kcal / 756 kJ'), ('Proteína', '5.56 g'), ('Grasa', '12.95 g'), ('Carbohidratos', '10.56 g'), ('Fibra', '1.12 g')]"
Empanada de maíz con berberechos,3.8,28 valoraciones,medio,15min,1h 15min,8 raciones,"['250 g de cebolla en cuartos', '150 g de pimiento rojo en trozos', '200 g de tomate frito estilo casero', '70 g de aceite de oliva', '½ cucharadita de sal', '4 latas de berberechos al natural (en conserva) escurridos (aprox. 240 g)', '500 g de harina de maíz (p. ej. Special Line®)', '100 g de harina de trigo', '100 g de aceite de oliva', '250 g de agua', '25 g de levadura prensada fresca', '1 cucharadita de sal']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '489 kcal / 2042 kJ'), ('Proteína', '13.97 g'), ('Grasa', '22.47 g'), ('Carbohidratos', '57.59 g'), ('Fibra', '3.98 g')]"
Angel food cake con salsa de fresas,4.5,26 valoraciones,medio,20min,2h 20min,10 raciones,"['110 g de harina de repostería', '300 g de claras de huevo', '1 cucharadita de cremor tártaro', '1 pellizco de sal', '2 cucharaditas de azúcar vainillado', '100 g de azúcar', 'de azúcar', '500 g de fresas', '60 g de azúcar', '20 g de zumo de limón', '1 pellizco de sal', '500 g de nata (35% de grasa)', '60 g de azúcar glas', '1 chorrito de vainilla líquida']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '362 kcal / 1511 kJ'), ('Proteína', '5.66 g'), ('Grasa', '17.32 g'), ('Carbohidratos', '45.69 g'), ('Fibra', '1.19 g')]"
Layer cake de nata y frutos rojos,4.5,40 valoraciones,medio,30min,2h 15min,12 raciones,"['50 g de mantequilla (Lurpak®) en trozos (y algo más para engrasar los moldes)', '8 huevos', '250 g de azúcar', '250 g de harina de repostería', '½ sobre de polvo de hornear', '1 pellizco de sal', '600 g de nata (35% de grasa) fría', '200 g de fresas', '10 g de azúcar', '120 g de frambuesas', '1 cucharada de azúcar glas (para espolvorear)']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '419 kcal / 1753 kJ'), ('Proteína', '8 g'), ('Grasa', '23 g'), ('Carbohidratos', '42 g'), ('Fibra', '2.3 g')]"
Bao buns a la catalana,4.2,50 valoraciones,medio,15min,2h,6 unidades,"['280 g de agua', '5 g de levadura prensada fresca', '320 g de harina de fuerza', '75 g de leche', '25 g de aceite de oliva', '1 cucharadita de miel', '1 cucharadita de sal', '½ cucharadita de lecitina de soja', '300 g de tomate maduro', '30 g de aceite de oliva virgen extra', '1 diente de ajo', '150 - 200 g de jamón ibérico en lonchas finas']","[('Inf. nutricional', 'por 1 unidad'), ('Calorías', '339 kcal / 1420 kJ'), ('Proteína', '14.64 g'), ('Grasa', '12.82 g'), ('Carbohidratos', '41.44 g'), ('Fibra', '2.48 g')]"
Tortilla de patatas mediterránea,4.1,70 valoraciones,medio,15min,40min,6 raciones,"['50 - 70 g de jamón serrano en dados', '80 - 100 g de pimiento verde italiano', '100 g de aceite de oliva', '350 g de patatas cortadas en cuartos y luego en rebanadas de 5 mm', '50 g de champiñones en láminas', '1 pellizco de sal', '5 huevos', '1 cucharadita de levadura química en polvo', '4 lonchas de queso tipo Havarti']","[('Inf. nutricional', 'por 1 ración'), ('Calorías', '256 kcal / 1070 kJ'), ('Proteína', '12.81 g'), ('Grasa', '18.45 g'), ('Carbohidratos', '9.66 g'), ('Fibra', '1.48 g')]"
